('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         667323 function calls (646641 primitive calls) in 5.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     5600    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     1544    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
      113    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      979    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      562    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      153    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
       86    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     2744    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     7241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1407    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2568    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
     2984    0.001    0.000    0.001    0.000 element.py:2763(descendants)
      153    0.001    0.000    0.102    0.001 sre_compile.py:783(compile)
      671    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
     1104    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      306    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
     1104    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3299    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     3940    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4288    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
       86    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      903    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      796    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
     2630    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      177    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
     4280    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     3760    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2482    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      153    0.000    0.000    0.064    0.000 sre_parse.py:944(parse)
       98    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      681    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
    114/4    0.000    0.000    0.168    0.042 <frozen importlib._bootstrap>:1022(_find_and_load)
     2799    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      130    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      109    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    109/5    0.000    0.000    0.168    0.034 <frozen importlib._bootstrap>:664(_load_unlocked)
     2839    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      105    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      366    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
       86    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      588    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       96    0.000    0.000    0.002    0.000 typing.py:1016(__init__)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      505    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
    114/4    0.000    0.000    0.168    0.042 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      796    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
     1648    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
      153    0.000    0.000    0.001    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.901    0.901 client.py:278(_read_status)
  178/145    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
     1177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      153    0.000    0.000    0.037    0.000 sre_compile.py:622(_code)
      681    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     2577    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       16    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      201    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        1    0.000    0.000    0.110    0.110 ssl.py:1014(_create)
      153    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       91    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      495    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.239    0.239 __init__.py:209(__init__)
      105    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      130    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
  657/618    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       87    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      153    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       10    0.000    0.000    0.355    0.036 __init__.py:1(<module>)
       26    0.000    0.000    0.992    0.038 {method 'readline' of '_io.BufferedReader' objects}
       52    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
      306    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       91    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       10    0.000    0.000    0.000    0.000 request.py:438(add_handler)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       86    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
