('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         666983 function calls (646361 primitive calls) in 5.788 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      903    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      878    0.001    0.000    0.001    0.000 socket.py:730(readable)
      877    0.002    0.000    0.002    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      877    0.001    0.000    0.003    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      877    0.005    0.000    1.250    0.001 ssl.py:1150(read)
      877    0.005    0.000    1.257    0.001 ssl.py:1292(recv_into)
      877    0.005    0.000    1.267    0.001 socket.py:691(readinto)
      877    1.245    0.001    1.245    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      796    0.000    0.000    0.001    0.000 typing.py:935(_is_dunder)
      796    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
      787    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      787    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      736    0.001    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      681    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      681    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      678    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      671    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      667    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  657/618    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      595    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      588    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
      567    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      562    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
      562    0.007    0.000    0.010    0.000 sre_compile.py:292(_optimize_charset)
      556    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      505    0.000    0.000    0.004    0.000 enum.py:359(__call__)
      495    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      477    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      436    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      436    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      412    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      374    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      366    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      357    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
  346/345    0.004    0.000    0.067    0.000 {built-in method builtins.__build_class__}
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      306    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      306    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      306    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      306    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      306    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      296    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
      288    0.000    0.000    0.000    0.000 element.py:2160(get)
      287    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      280    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      280    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      279    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      276    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      267    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      266    0.000    0.000    0.171    0.001 re.py:249(compile)
      266    0.003    0.000    0.171    0.001 re.py:288(_compile)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      257    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      239    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      229    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      208    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      201    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      201    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
      198    0.000    0.000    0.000    0.000 enum.py:801(value)
      198    0.000    0.000    0.000    0.000 types.py:176(__get__)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      188    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      181    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
      181    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      181    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
      180    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      179    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
  178/145    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      177    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      167    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      154    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      153    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      153    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      153    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      153    0.001    0.000    0.010    0.000 sre_compile.py:560(_compile_info)
      153    0.000    0.000    0.052    0.000 sre_compile.py:622(_code)
      153    0.001    0.000    0.167    0.001 sre_compile.py:783(compile)
      153    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      153    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      153    0.001    0.000    0.114    0.001 sre_parse.py:944(parse)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
    146/5    0.000    0.000    0.241    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      139    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      133    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      130    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      130    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      129    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      127    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      127    0.000    0.000    0.015    0.000 sre_parse.py:97(closegroup)
      126    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      125    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      118    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
   114/96    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      114    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    114/4    0.000    0.000    0.242    0.060 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    114/4    0.000    0.000    0.242    0.060 <frozen importlib._bootstrap>:1022(_find_and_load)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      113    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      113    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      110    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      109    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  109/106    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    109/5    0.000    0.000    0.241    0.048 <frozen importlib._bootstrap>:664(_load_unlocked)
      107    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      105    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      105    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      100    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       98    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       98    0.002    0.000    0.005    0.000 sre_compile.py:516(_get_charset_prefix)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       98    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       98    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       96    0.000    0.000    0.003    0.000 typing.py:1016(__init__)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       94    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       92    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       91    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       91    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       88    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
     87/1    0.000    0.000    5.788    5.788 {built-in method builtins.exec}
       87    0.004    0.000    0.546    0.006 {method 'read' of '_io.BufferedReader' objects}
       87    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       86    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       86    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
       86    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       86    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     86/5    0.000    0.000    0.241    0.048 <frozen importlib._bootstrap_external>:877(exec_module)
       86    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       86    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       72    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       65    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       60    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
    60/40    0.000    0.000    0.003    0.000 typing.py:401(__getitem__)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       59    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 re.py:269(escape)
       52    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       52    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       52    0.000    0.000    0.002    0.000 css_parser.py:1092(<listcomp>)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       47    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
       46    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       45    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       45    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       44    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       44    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       42    0.000    0.000    0.000    0.000 os.py:698(__iter__)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:885(__iter__)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       41    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       41    0.000    0.000    0.000    0.000 os.py:759(decode)
       41    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       40    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       40    0.000    0.000    0.002    0.000 typing.py:483(Union)
       40    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       40    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
    40/30    0.000    0.000    0.090    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 typing_extensions.py:2872(_check_generic)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       35    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       35    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
