('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5868    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
5651/5583    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2974    0.001    0.000    0.003    0.000 filter.py:717(match)
     8444    0.001    0.000    0.001    0.000 typing.py:1737(cast)
      191    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
     1058    0.001    0.000    0.002    0.000 sre_parse.py:296(_class_escape)
      270    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      189    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    214/4    0.001    0.000    0.243    0.061 <frozen importlib._bootstrap>:1022(_find_and_load)
     1544    0.001    0.000    0.002    0.000 filter.py:538(matches_tag)
     9180    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5596    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
    52/14    0.001    0.000    0.013    0.001 css_parser.py:911(parse_selectors)
       11    0.001    0.000    0.140    0.013 {method 'join' of 'bytes' objects}
      804    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
      193    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      191    0.001    0.000    0.108    0.001 sre_compile.py:783(compile)
     3715    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    189/4    0.001    0.000    0.242    0.060 <frozen importlib._bootstrap>:664(_load_unlocked)
      308    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
        1    0.001    0.001    0.001    0.001 adapters.py:167(HTTPAdapter)
     2743    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     6625    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4245    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
     2743    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
       77    0.001    0.000    0.005    0.000 css_parser.py:462(parse_attribute_selector)
       17    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
     1130    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
     1005    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
     1363    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
